,symbol,open,high,low,close,last,prevclose,tottrdqty_lakhs,tottrdval_lakhs,timestamp,totaltrades,deliverypercent,deliveryvalue_lakhs,week,month,year,5days_vwap,sma_20_close,sma_50_close,sma_124_close,sma_150_close,sma_200_close,sma_9_high,ema_5_close,ema_15_close,ema_20_close,ema_50_high,ema_50_low,Bearish_crossover,Bullish_crossover,Triveni_Sangam,DMA_Convergence,Close_Below_MonthlyBB,Close_Above_MonthlyBB,Close_Below_WeeklyBB,Close_Above_WeeklyBB,ATFEMA_15C_Above_50H_and_50L,ATFEMA_15C_Below_50H_and_50L,MonthlyEMA_15C_Below_50H_and_50L,WeeklyEMA_15C_Below_50H_and_50L,DailyEMA_15C_Below_50H_and_50L,MonthlyEMA_15C_Above_50H_and_50L,WeeklyEMA_15C_Above_50H_and_50L,DailyEMA_15C_Above_50H_and_50L,MonthlyEMA_5C_Above_20C,WeeklyEMA_5C_Above_20C,DailyEMA_5C_Above_20C
0,ACC,1347.7,1351.0,1315.15,1319.4,1318.8,1343.55,2.049,2720.53,2017-01-04,14287,37.61,1023.0,1.0,1.0,2017.0,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,ACC,1330.5,1339.0,1320.1,1332.85,1334.9,1319.4,3.629,4827.66,2017-01-05,19730,31.7,1530.0,1.0,1.0,2017.0,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,ACC,1338.0,1349.1,1330.0,1333.9,1331.1,1332.85,2.479,3324.06,2017-01-06,12556,27.95,929.0,1.0,1.0,2017.0,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,ACC,1343.7,1343.7,1316.5,1327.85,1326.35,1333.9,1.351,1791.16,2017-01-09,6490,44.46,796.0,2.0,1.0,2017.0,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,ACC,1332.0,1337.35,1314.05,1319.6,1317.3,1327.85,1.664,2197.7,2017-01-10,10054,49.5,1088.0,2.0,1.0,2017.0,1722.2314094701221,,,,,,,1326.72,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,ACC,1325.0,1354.0,1320.0,1348.7,1349.0,1319.6,3.995,5361.98,2017-01-11,25445,56.18,3012.0,2.0,1.0,2017.0,1731.8492460962227,,,,,,,1334.0466666666666,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,ACC,1357.0,1361.0,1332.35,1341.6,1340.0,1348.7,2.821,3792.86,2017-01-12,20395,43.3,1642.0,2.0,1.0,2017.0,1738.984142704126,,,,,,,1336.5644444444445,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,ACC,1344.8,1350.0,1327.7,1329.5,1332.0,1341.6,1.014,1350.88,2017-01-13,5841,34.66,468.0,2.0,1.0,2017.0,1738.4290997669634,,,,,,,1334.2096296296297,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,ACC,1331.0,1339.9,1325.0,1331.0,1333.1,1329.5,1.075,1432.07,2017-01-16,7316,36.64,525.0,3.0,1.0,2017.0,1735.6153340751487,,,,,,1347.2277777777776,1333.13975308642,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,ACC,1333.0,1339.9,1315.0,1328.9,1331.0,1331.0,2.085,2763.22,2017-01-17,13295,37.66,1041.0,3.0,1.0,2017.0,1725.782139176888,,,,,,1345.9944444444443,1331.7265020576133,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
